,comment,date,image,is_fake
27,"95ые максы ещё и роооозовые я о них просто мечтала сразу заказала, они очень крутые! в магазинах НЕ НАЙТИ у нас их!!! я очень рада!!! ",5 фев 2018 в 16:59,True,1
28,просто космос ,5 фев 2018 в 17:00,True,1
29,Давно такие хотела Очень рада ,7 фев 2018 в 14:16,True,1
30,Спасибочки ,7 фев 2018 в 16:05,True,1
31,"Всё доставили, всё супер, размер идеально подошел, качество нравится ",8 фев 2018 в 12:06,True,1
32,"Забрала!) Очень красивый нереально насыщенный цвет, на фото невозможно передать, смотрится шикарно)",13 фев 2018 в 16:05,True,1
33,Спасибо &#128525;&#128525;&#10084; Давно хотела их очень именно такие &#128079;&#128079;&#128079;&#128515;&#129303;,13 фев 2018 в 18:18,True,1
34,"Заказала 2 пары джорданов, обожаю их, а по такой цене нечасто предложения можно найти)) Спасибо!",14 фев 2018 в 17:57,True,1
35,"Спасибо! Качество идеальное, очень приятный нежный цвет, камера слабенькая и плохо передаёт, но он ооочень мне нравится, размер подошел, никаких проблем пока не выявила, буду вас рекомендовать, вы молодцы! &#128077;&#128536;",15 фев 2018 в 10:54,True,1
36,"Подтверждаю! Размер соответствует, цвет и модель тоже, размер правильный, доставлено в срок. Никаких подводных камней нет, доплачивать ничего не пришлось, выбирал почтой, пришел и забрал, кстати достаточно быстро",7 мая 2018 в 15:13,True,1
37,"Всё прошло отлично, рекомендую!",7 мая 2018 в 15:39,True,1
38,"Наконец таки мужские появились у вас, а то у вас моя девушка заказывала, а я только завидовал Вот себе теперь сразу 2 пары и девушке 1 заказали, раньше бы так было ",7 мая 2018 в 17:21,True,1
39,Группа у вас реально топ ! Ещё одежда бы не помешала тоже !,7 мая 2018 в 19:08,True,1
40,"Заказываю тут уже второй раз, до это ещё перед новым годом заказывала Заказала 2 пары себе и подруге, всё как и в прошлый раз быстро оперативно и без проблем, спасибо!! ",7 мая 2018 в 20:19,True,1
41,"Офигенные! За 6 дней доехали, никаких проблем! Респект вашему магазину!",7 мая 2018 в 22:34,True,1
42,Шикарные кроссовки! Спасибо большое! ,8 мая 2018 в 12:08,True,1
43,Получил!,9 мая 2018 в 14:20,True,1
44,"Спасибо , качество очень хорошее ",9 мая 2018 в 17:47,True,1
45,"Сегодня получил, отличные кросы! Рекомендую! Спасибо!",9 мая 2018 в 21:06,True,1
46,"Девочки, всем советую, группа просто сокровище! Такое качество за такую цену) Я в воторге Скину еще фото",23 дек 2017 в 16:59,False,1
47,"Спасибо за заказ!Пришло в 7 дней, размеры подошли! Спасибо. Приятно работать с вами.",23 дек 2017 в 17:00,True,1
48,"Получила платье,очень довольна!спасибо за качественную работу!)всё супер ",23 дек 2017 в 17:12,True,1
49,"Одаа заказ пришел, сейчас напишу отчет. ",23 дек 2017 в 17:34,False,1
50,"Классная парка! Мех не линяет, богатый мех на воротнике. В рукавах утеплитель не сильный, но если был бы больше, мне кажется в толстовке руки будут казаться надутыми. Посмотрим, как зимой будет согревать. Вообщем заказом довольна. рекомендую.",23 дек 2017 в 17:36,True,1
51,"Трек отслеживала на сайте Почта России, отслеживание было каждый день вплоть до времени) Пришли хорошо упакованные, размер подошёл, качество 8 из 10(был небольшой запах и кое где есть клей), но за такую цену идеально) спасибо большое за консультацию и отличную работу магазина буду заказывать ещё ",23 дек 2017 в 18:10,True,1
52,"Спасибо большущее ,очень приятно с вами работать!Процветания Вам и хороших клиентов! ",23 дек 2017 в 18:40,True,1
53,Влюбилась в ваш магазин. Делайте по чаще скидки),23 дек 2017 в 20:13,False,1
54,"Курточка очень классная,швы ровные,запаха нет,мех очень пушистый и смотрится обалдено.Заказом довольна, куплю у вас ещё что-нибудь) И,кстати, эта куртка по смешной цене))",23 дек 2017 в 20:14,True,1
55,"Дождалась платья, оно прекрастно на мне сидит",23 дек 2017 в 22:09,False,1
56,"Платье огонь, очень приятное к телу. Не просвечивает, чего боялась больше всего. А что порадовало больше всего, что купила по АКЦИИ спасибо Вам большое!",23 дек 2017 в 22:10,True,1
57,"Девочки, мне очень нравится брать товар в этом магазине, вот от души говорю...Доставляют даже быстрее, когда есть возможность)) О кроссах, довольна! Запаха нет, чего боялась, проклеены хорошо. Спасибо ещё раз)",24 дек 2017 в 9:37,True,1
58,"Сумку отличную еще прикупила,качество хорошее.Рекомендую.Главное цена радует)",24 дек 2017 в 9:39,True,1
59,"Очень приятно носить, туфельки шикарны)) Теперь думаю еще заказиков у вас сделать ",24 дек 2017 в 12:54,True,1
60,"Прекрасные ботинки, мягкие и пушистые, но по лужам бегать нельзя, ходить можно.., неторопясь и по неглубоким. :) Таблица размеров соответствует. Доставка быстрая.",24 дек 2017 в 18:29,True,1
61,Очень понравился ваш магазин. Ждите меня за новыми покупками ,24 дек 2017 в 18:30,True,1
62,"привет! делюсь восторгом! пять звёзд по всем пунктам! скорость доставки, полное отслеживание, качество товара, общение с продавцом! на счет размера: у меня 37 (без +/-), я заказала 23,5 см по сетке размеров продавца, ботинки подошли отлично, ноге свободно, не давит, не жмет. все гуд!",24 дек 2017 в 21:21,True,1
63,"Заказала курточку, оплачивать боялась, но теперь уверенно могу еще здесь заказывать. Доставили на 6 день после заказа, трек код дали на 3 день. Качество радует, все как на и на картинках Всем советую))",24 дек 2017 в 21:45,True,1
64,"В группе я нашла множество симпатичных зимних курток и пуховиков по смешным ценам.Я даже не думала,что зимние куртки могут стоить так дешево! Заказала вот такую зимнюю куртку всего за 600 рублей))",24 дек 2017 в 23:05,True,1
65,"пришёл заказ, сейчас расскажу свое мнение!",25 дек 2017 в 9:43,False,1
66,"Очень удобные и красивые сапожки,мягкая подошва,мех немного свалялся пока доехали,но это очень поправимо,запаха нет,доставка около 1,5 недель ",25 дек 2017 в 9:45,True,1
67,"Куртка отличная! За такие-то деньги. Размер сел идеально, на русский 40-42 заказывала М, нитки не торчат, швы ровные, запах постороннего нет. Была повреждена упаковка,, но на товар это не сказалось. Спасибо",1 фев 2018 в 13:20,True,1
68,"без ума от этого платья! теплое, тянется, на рост 170 чуть ниже колена, мое размер в размер получилось, как раз. приятный материал, пришло в течении 2 недель. на беременных супер, не стесняет движений, удобно.",10 фев 2018 в 20:01,True,1
69,"уже довольно много вещей заказывала здесь и очень всем довольна,вещи очень хорошие и отношение к клиенту отличное, спасибо !!!!",11 фев 2018 в 20:08,True,1
70,"Наконец пришел мой заказ) Качество действительно как в магазинах торговых центров как и обещали) Цена удивляет, размер подошел идеально. Теперь я ваш постоянный клиент! Спасибо)",12 фев 2018 в 16:19,True,1
71,"Пришел заказ, аллилуя ",12 фев 2018 в 20:16,False,1
72,"Cапожки на теплую погоду) Спасибо, что помогли с выбором. Буду заказывать ещё. Качеством довольна, доставка довольно быстрая, удобные)))",12 фев 2018 в 20:18,True,1
73,"Куртка отличного качества. Полностью соответствует фото. Продавцы внимательные, уточнили параметры, что бы убедиться, что размер верный, заказ отправили на следующий же день. Сама доставка тоже очень быстрая Однозначно советую!)",13 фев 2018 в 14:29,True,1
74,"Кстати, курточку взяла по распродаже)",13 фев 2018 в 14:30,False,1
75,"Девочки, спасибо кто отвечал на счёт покупок))",14 фев 2018 в 22:46,False,1
76,Cегодня вот получила свою сумочку на почте)),14 фев 2018 в 22:47,False,1
77,"От сумки в восторге))) Она качественна, красива и держать её в руках -одно удовольствие))) спасибо вам за такую шикарную сумку и за вашу работу))",14 фев 2018 в 22:48,True,1
78,"Ботиночки пришли, вот и оставляю свои мысли",17 фев 2018 в 13:57,False,1
79,"Благодарю они очень крутые Подружка вас посоветую, цены топ ",17 фев 2018 в 13:58,True,1
80,"Куртка очень понравилась, ткань приятная размер подошёл идеально. Полностью соответствует картинке. Достаточно тёплая. Продавец общительный, товар получила очень быстро. Спасибо! Рекомендую",14 мар 2018 в 13:16,True,1
81,"Получила платье,размерчик подошёл,ткань отличная,спасибо за быструю доставку и приятное общение!!!!заказываю в первый и не в последний раз ",30 мар 2018 в 2:24,True,1
82,"Спасибо вам большое за платье, размер подошёл, качество хорошее, всем довольна ",вчера в 14:01,True,1
83,"спасибо вам большое за сапожки! Качество отличное,как раз то,чего хотелось бы. И размер подошёл,спасибо,вы подобрали как раз то,что нужно,ни больше,ни меньше. Теперь я уверена,в том,что в группе всё по честному,и предоплату можно вносить не опасаясь,что вас обманут! Всё во время,и без обмана! Ещё раз огромное спасибо!!!!!!!! Буду и впредь заказывать вещи в вашей группе!!!!",15 мар 2018 в 13:27,True,1
84,"Доставка супер быстрая! Покупка отличная. Свободно и не весит и не обтягивает. Я очень довольна!!! кардиган просто мега, в магазинах таких не видела",15 мар 2018 в 20:24,False,1
85,"Я довольна покупками и удобными разнообразными возможностями оплаты. Вещи достойного качества. Используя услуги многих киевских интернет-магазинов, я убедилась, что забота о покупателях, качество обслуживания и удобство доставки на высшем уровне.",16 мар 2018 в 11:09,False,1
86,Урааа ! пришла моя посылочка) всё подошло прекрасно) пока что лучшая моя покупка в интернете),20 мар 2018 в 19:46,False,1
87,Парка класс! По размеру продавец помог! Курьер принёс домой! Спасибо за подарок чудесный меховой брелок! ,21 мар 2018 в 13:07,True,1
88,"Девочки, огромное спасибо за эти сапожки, они крутые!",22 мар 2018 в 19:16,True,1
89,"Не первый раз заказываю наряды в этом магазине, нравится абсолютно все: цвет, размер, сроки доставки, фасон, цены доступные! Спасибо за работу и такие чудесные платья! ",22 мар 2018 в 21:10,False,1
90,"получила сегодня прекрасную сумочку, спасибо, всё как и обещали",26 мар 2018 в 11:52,False,1
91,"Заказывала гольф с большим горлом, очень довольна! Спасибо ",26 мар 2018 в 20:30,True,1
92,"Добрый день, заказ делала впервые и очень волновались, чтобы пришло в срок, хочу сказать спасибо менеджеру, помогла с выбором размера и успокоила мои нервы) Кофточка пришла быстро, качество очень хорошее. ДЕВОЧКИ СОВЕТУЮ! Буду еще заказывать и с удовольствием носить.",27 мар 2018 в 21:03,False,1
93,"Большое спасибо Вам за платье! Оно нереальное! Качество великолепное! Размер подошел! Так же большое спасибо за маленькие приятности))) консультанточень внимательная и приятная, поможет определиться и с фасоном платья, что лучше на фигуре смотреться будет и с размером! Доставка оперативная! еще раз большое спасибо, теперь за платьями только к Вам!!!",28 мар 2018 в 16:36,True,1
94,"хочу поделиться впечатлениями о покупке в данном группе.. я , не любитель покупать вещи подобным путем, но бывает, что иногда что-то все таки приглянется настолько , что я это делаю) У меня остались наиположительнейшие эмоции после покупке двух вещичек",29 мар 2018 в 11:34,True,1
95,"выглядит точно так же, как на картинке!!",29 мар 2018 в 18:43,True,1
96,"Заказывала джинсы, по размеру подошли хорошо, единственный минус, пуговица всё время расстёгивается, но её не проблемно заменить)",30 мар 2018 в 10:36,True,1
97,"классс мне пришел костюм спортивный) я такая довольная , мне он так понравился и самое главное что подошел - очень переживала за размер)) хочу сказать большое спасибо продавцу за хорошее общение и за помощь в выборе , очень довольна , теперь буду только здесь заказывать , уже платье присмотрела )))) спасибо))))",30 мар 2018 в 20:23,False,1
98,"Заказывала вечернее платье, была готова ушивать, перешивать, подшивать, но не пришлось, качество отменное , нитки не торчат! Село идеально, я с нового года искала и нашла только у вас)",2 апр 2018 в 12:19,True,1
99,"Огромное спасибо за худик! Мягенький, приятный, очень удобный! Обязательно закажу еще что-нибудь :)",2 апр 2018 в 18:48,False,1
100,"Заказывала кроссовки, всё пришло в сроки, был не очень хороший опыт заказов в интернете, сделала заказ на страх и риск, не ошиблась! Качество кроссовок хорошее, впрочем на фото видно",3 апр 2018 в 11:32,True,1
101,"Заказывала спортивный костюм, качество очень хорошее, размерчик мой))) спасибо девчонкам, помогли определиться с размером) обязательно что нибудь закажу еще))) ну и посоветую Вас своим друзьям ",3 апр 2018 в 16:58,False,1
102,"Заказывала сапожки, ходить сейчас -самое то! покупкой довольна на 101%, качество очень хорошее, буду заказывать ещё",3 апр 2018 в 17:15,True,1
103,"Очень довольна своим заказом, отличное качество, совпадает с фото. Огромное спасибо за внимание и хорошее обслуживание !!! Очень быстрая доставка, молодцы!!!",3 апр 2018 в 18:44,True,1
104,"Получила заказ раньше указанного срока доставки, что очень порадовало Заказала спортивный костюм, сел отлично! По размерам идеально! Очень порадовала менеджер. Всё очень слаженно, понятно и не навязчиво )) Осталась очень довольна и покупкой, и общением :)",3 апр 2018 в 19:29,False,1
105,Хорошие туфли.Цена=качество.За такую цену однозначно нужно брать!!!РЕКОМЕНДУЮ,4 апр 2018 в 10:17,True,1
106,"Заказывала птатье ,осталась очень приятно удивлена качеством , платье село как надо , менеджер долго меня консультировала с выбором . В общем буду заказывать только у вас !!",4 апр 2018 в 16:09,True,1
107,"Претензий к качеству товара, размеру, доставке никаких.Качество хорошее, размер соответствует заявленному, доставка быстрая. Только положительные рекомендации. Спасибо.",5 апр 2018 в 9:33,False,1
108,"село идеально, это оказалось больше (скорее М) :(((, девушки, учитывайте это при заказе. Платье хорошее, но на девушку с более округлыми формами",5 апр 2018 в 10:52,True,1
109,"Туфли просто крутейшие, замша лёгкая в уходе, ходитить удобно, спасибо вам)",5 апр 2018 в 18:16,True,1
110,"Пришла моя майка и футболка, качество хорошее, ниток нет, после стики остались в таком же виде, спасибо",5 апр 2018 в 20:26,False,1
111,"Спасибо за джинсы,очень понравились,а главное по размеру подошли! ",6 апр 2018 в 10:26,True,1
112,"В первый раз заказывала вещи в интернете, осталась очень довольна высокое качество и одежда как раз. Буду теперь постоянно заказывать у вас одежду))",6 апр 2018 в 18:54,False,1
113,"Девушка заказывала у вас майку, понравилось качество, цена и консультация достойна похвалы, спасибо",16 апр 2018 в 10:09,True,1
114,"Качеством изделий я довольна. А также быстрой доставкой так как в другом интернетмагазине я ждала 2 месяца!!! Тут на удивление мне уже все выслали сразу же. Никаких претензий нет. Все супер!!"" спасибо большое))))",16 апр 2018 в 18:36,False,1
115,"Спасибо, за быструю доставку и качественный подбор размера. Платье село ИДЕАЛЬНО.",17 апр 2018 в 11:03,True,1
116,"На днях приобрела себе платье и осталась очень довольна!!! Оно просто супер!! Обслуживание замечательное, все очень быстро и удобно!! Большое спасибо!! Буду и дальше к вам обращаться!! Всем советую, не пожалеете.",17 апр 2018 в 14:00,True,1
117,"спасибо большое за костюмчик!) честно не ожидала что будет хорошего качества и по размеру подойдет, а нет!) все отлично!))) очень рада, целый день ( с момента получения посылки ) хожу и сияю)",18 апр 2018 в 16:56,True,1
118,"Присоединюсь ко всем комментариям, я тоже ооочень довольна сумкой, все подруги завидуют))))) спасибо огромное!",18 апр 2018 в 20:31,False,1
119,Здравствуйте купила у вас это шикарное платье. Оно реально потрясное оч эффектно смотрится.. спасибо большое за такую красоту ,19 апр 2018 в 13:38,True,1
120,"Сегодня получила посылочку девушка консультант приятно удивила своей доступностью, услужливостью и добродушием. Очень хорошее впечатление от покупки. кроссы понравились, по размеру хорошо, качество на 9 из 10, есть запах. Спасибо)",19 апр 2018 в 13:44,True,1
121,Получила свой заказ еще несколько дней назад. Наконец-то дошли руки написать. Заказ пришел неожиданно быстро. Всего около недели. Качество пошива меня полностью устроило. Общение в процессе заказа тоже. Спасибо за понимание. Закажу еще что-нибудь)))),19 апр 2018 в 13:52,False,1
122,"Спасибо за присланный заказ! Очень благодарна! Всё подошло, ткань, размеры! Очень быстро! Буду всем советовать вашу одежду!",19 апр 2018 в 14:08,False,1
123,"Спасибо вам большое!сумка великолепная! Размер как и хотела, качество очень хорошие! Буду продолжать у вас заказывать и советовать вас друзьям !)",20 апр 2018 в 15:11,True,1
124,"Заказывала блузку, все отлично подошло, качество хорошее спасибо большое ",20 апр 2018 в 17:28,True,1
125,"Получила свое платье, качество хорошее!! Пришло вовремя!! Спасибо Вам большое!!",20 апр 2018 в 20:30,True,1
126,"Получила сегодня платье. Качество хорошее,очень понравилось. Буду заказывать еще и не раз:) Спасибо огромное.",26 апр 2018 в 8:29,False,1
127,"Заказываю не в первый раз, все вещи отличного качества, всегда соответствуют фото ,а цены и быстрая доставка всегда радуют. А еще отдельное спасибо хочется сказать администратору, всегда ответит на все вопросы и посоветует, если есть вопросы. Успехов вам и хороших клиентов!",26 апр 2018 в 17:00,False,1
128,"огромное спасибо,очень довольна,никаких задержка,всё что хотела,то получила и очень рада, и буду заказывать ещё) по фото видно , что качество хорошее",27 апр 2018 в 15:33,True,1
129,"Сегодня получила посылочку девушка консультант приятно удивила своей доступностью, услужливостью и добродушием. Очень хорошее впечатление от покупки. кроссы понравились, по размеру хорошо, качество на 9 из 10, есть запах. Спасибо)",30 апр 2018 в 18:28,False,1
130,"Приятное к телу и сидит очень хорошо, удобная! Доставка недели три, всем довольна!",1 мая 2018 в 8:35,True,1
131,Платья очень понравились по качеству и по цене спасибо !,10 мая 2018 в 18:09,False,1
132,"Наконец-то первый честный магазин! Давно таких искал) Было 19606 гемов, сейчас 26106. Очень рад, спасибо! И даже не пытайтесь активировать код, я уже это сделал ",15 мар 2018 в 5:18,True,1
133,"Купил аккаунт и туда прикупил гемы, думаю это стоило моего завтрака в школе))",17 мар 2018 в 17:21,False,1
134,"Не обманули,советую.спасибо за гемы",25 мар 2018 в 6:37,False,1
135,"Супер! Купил топ аккаунт по низкой цене, очень доволен&#128522;",27 мар 2018 в 18:18,False,1
136,"Тимофей, Согласен, всё Топ!",27 мар 2018 в 23:55,False,1
137,"Круто! Купил аккаунт другу на день рождение за низкую цену. Очень рад, как и друг.",28 мар 2018 в 13:55,True,1
138,"Купил очередной раз аккаунт, реально Топ! Мне тут больше нечего сказать..",29 мар 2018 в 19:36,False,1
139,"НЕ КИДКИ, ПРОВЕРЕНО МНОЮ Выбил из кейса самое большое количество гемов! Лучшая группа, люблю",2 апр 2018 в 6:43,False,1
140,"Спасибо огромное , купил кейс выпал пром на гемы, рад до безумства , уважаю ваш труд!!!",7 апр 2018 в 13:35,False,1
141,"Купил аккаунт с 9 легами за 180 рублей и 12 арена, не кинули!! Буду покупать только у них, советую, они лучшие",11 апр 2018 в 5:55,False,1
142,"Artem, согласен. Они самые лучшие!",11 апр 2018 в 6:25,False,1
143,"Найс группа! Всё по-честному, советую всем эту группу",12 апр 2018 в 12:29,False,1
144,"Ввёл в начале неправильный комментарий при оплате, потом в понял что это ошибка и оплатил с необходимым комментарием, в итоги получил кейс из которого выпал аккаунт на 11 арене, Советую! Лучшие! Без обмана!",14 апр 2018 в 16:00,False,1
145,"Обожаю эту группу Самая лучшая и честная группа, удачи в развитии ",17 апр 2018 в 16:13,False,1
146,Я люблю свою жизнь только из-за группы Rudi Royale. Если бы её не было я бы не играл в рояль и не сидел в ВК. Обожаю эту группу! ЛУЧШИЕ,22 апр 2018 в 8:55,False,1
147,"Хороший магазин! А главное качественный! Дешёвые цены, оригинальная группа, чистые аккаунты! А главное гемы! Покупаем! Купил 5 аккаунтов за 1000 рублей! Советую, здесь не кидают!",30 апр 2018 в 9:26,False,1
148,"Купил 6500 Гемов, всё на вышем уровне!",3 мая 2018 в 19:26,False,1
149,"Очень рад, просто Божественно! Самая лучшая группа, топовый аккаунт всего за 200 рублей, это действительно чудо..",5 мая 2018 в 13:25,True,1
150,"Привет Друзья! Всем советую данный магазин , достойный сервис , цены ниже чем в магазинах на 15-30%! Руслан спасибо тебе за скидку , айфончик доставили в сроки , все как ты и обещал , разлоченый, новый , не подделка , будем сотрудничать и в скором времени закажу оптовым пару айфонов",9 апр 2018 в 16:27,True,1
151,"Здравствуйте Руслан ) сегодня понедельник - выходной , а я работаю )курьер доставил мои часики прямо в офис , что очень удобно . Платил предоплату 11.000 рублей на киви кошелёк и все без обмана) уже сгенирировал Часы с айфоном , все работает на ура )Руслан спасибо вам за быструю доставку и честность !) коллеги заинтересовались вашим магазином так что ждите новых заказов)",9 апр 2018 в 16:28,True,1
152,.,13 ноя 2017 в 18:15,False,1
153,"Отличный свитер с хорошим качеством, вязка аккуратная. Маме на 46 размер подошел идеально. Спасибо продавцу!",13 ноя 2017 в 20:04,True,1
154,"Очень приятно носить, туфельки шикарны)) Теперь думаю еще заказиков у вас сделать ",8 дек 2017 в 16:12,True,1
155,"Очень удобные и красивые сапожки,мягкая подошва,мех немного свалялся пока доехали,но это очень поправимо,запаха нет,доставка около 1,5 недель&#128131;",18 дек 2017 в 22:03,True,1
156,"Спасибо Вам)) не впервые заказываю и всем довольна качество хорошее, цены крошечные)",20 янв 2018 в 11:44,True,1
157,"Магазин работает отлично, товар пришёл за три дня) продавцы очень внимательны и приятны в общении, платье пришло как на картинке",20 янв 2018 в 12:00,True,1
158,Cегодня вот получила свою сумочку на почте)),16 фев 2018 в 15:28,False,1
159,"От сумки в восторге))) Она качественна, красива и держать её в руках -одно удовольствие))) спасибо вам за такую шикарную сумку и за вашу работу))",16 фев 2018 в 15:29,True,1
160,"Куртки потрясающие ......куртка длинная ,с красивым густым натуральным мехом ...Продавец общитальный ,все по делу говорит и отвечает на вопросы. Мы очень довольны . Спасибо огромное !!!!",18 фев 2018 в 15:25,True,1
161,"Девочки, купила жилеточку меховую!!! Просто в восторге от качества, какая она мягкая, теплая и очень легкая))) Не вылезаю из нее просто, безумно довольна, Настюша Спасибо тебе Огромное !!! огромное спасибо)))!!!!!!!!!!!!",16 мар 2018 в 16:42,True,1
162, ,16 мар 2018 в 17:01,False,1
163,"Девочки, заказала себе здесь классные туфли!!!! Они просто потрясающие! В живую смотрятся намного ярче и богаче. А главное - размер подошел просто идеально. И качество супер!",16 мар 2018 в 17:50,True,1
164,"Настя) благодарю вас за консультации и советы пришла посылка) куртка легкая, теплая с моими обьемами и весом это важно) цвет цвет оливковый ( по вашему совету) очень походит к моим глазам)))) желаю вам успехов и здоровья!!!!",16 мар 2018 в 17:58,True,1
165,"Спасибо большое,очень красивое Пальто .Настя СПАСИБО ВАМ!!",19 мар 2018 в 21:56,True,1
166,"Наконец-то дошла моя курточка Сегодня забрала на почте)Дошла за 6 дней.Сидит идеально,спасибо всё идеально подобранный размер Обязательно закажу еще ",29 мар 2018 в 16:59,True,1
167,"Сумка просто класс, других слов нет! Качество 10 из 10! Всем советую этот магазин)",31 мар 2018 в 23:40,True,1
168,"Спасибо менеджеру за профессиональную работу! Все условия контракта выполнены безупречно: качество, размер, цвет!",31 мар 2018 в 23:44,True,1
169,"Получила платье,размерчик подошёл,ткань отличная,спасибо за быструю доставку и приятное общение!!!!заказываю в первый и не в последний раз ",31 мар 2018 в 23:49,True,1
170,Пришёл мой заказ! Цвет куртки просто анриал в жизни) Качество супер!,31 мар 2018 в 23:52,True,1
171,"Куртка клёвая мне очень нравится, на раннюю весну то, что нужно",1 апр 2018 в 0:00,True,1
172,"Заказывала костюм. Пришёл заказ за 10 дней,очень красивый и тёплый)) Спасибо большое ",7 апр 2018 в 18:40,True,1
173,"Сегодня получила посылку, дошла за 10 дней,.чуть-чуть дольше чем ожидала. Но оно того стоило,попала на акцию 2+1 и сумка была в подарок.Материал отличный и все подошло по размеру,спасибо менеджеру) Закажу обязат",7 апр 2018 в 18:45,False,1
174,,7 апр 2018 в 18:45,False,1
175,"Впервые решила рискнуть заказать сумку через интернет, мои страхи не оправдались, сумка пришла без брака, во время , а самое главное в хорошем качестве Еще раз большое спасибо, всем советую, не пожалеете ",18 апр 2018 в 10:40,False,1
176,,18 апр 2018 в 10:40,False,1
177,"Заказывала 2 платья- все отлично! Пришло все быстро, качество хорошее и по размеру все подошло! Закажу что нибудь еще!",22 апр 2018 в 19:22,False,1
178,,22 апр 2018 в 19:22,False,1
