,comment,date,image,is_fake,lemmas,stem
10,"с   удовольствие   оставлять   фото    получать   без   проблема 
",8 янв 2018 в 8:26,True,1,"['с', 'удовольствие', 'оставлять', 'фото', 'получать', 'без', 'проблема']","['с', 'удовольств', 'оставля', 'фот', 'получа', 'без', 'проблем']"
11,"заказ   получать 
",8 янв 2018 в 15:55,True,1,"['заказ', 'получать']","['заказ', 'получа']"
12,"отличный   магазин     все   вежливо   и   понятно   подсказывать    быстро   оформлять   и   отправлять   заказ    что   я   очень   порадовать    сам   кросоовок   тоже   очень   и   очень   хороший    не   придираться    советовать 
",10 янв 2018 в 0:16,True,1,"['отличный', 'магазин', 'все', 'вежливо', 'и', 'понятно', 'подсказывать', 'быстро', 'оформлять', 'и', 'отправлять', 'заказ', 'что', 'я', 'очень', 'порадовать', 'сам', 'кросоовок', 'тоже', 'очень', 'и', 'очень', 'хороший', 'не', 'придираться', 'советовать']","['отличн', 'магазин', 'все', 'вежлив', 'и', 'понятн', 'подсказыва', 'быстр', 'оформля', 'и', 'отправля', 'заказ', 'что', 'я', 'очен', 'порадова', 'сам', 'кросоовок', 'тоже', 'очен', 'и', 'очен', 'хорош', 'не', 'придира', 'советова']"
13,"спасибо   большой 
",10 янв 2018 в 11:03,True,1,"['спасибо', 'большой']","['спасиб', 'больш']"
14,"спасибо 
",15 янв 2018 в 11:50,True,1,['спасибо'],['спасиб']
15,"получать    желать   вы   развитие   и   процветание 
",15 янв 2018 в 15:33,True,1,"['получать', 'желать', 'вы', 'развитие', 'и', 'процветание']","['получа', 'жела', 'вы', 'развит', 'и', 'процветан']"
16,"очень   рад    что   узнавать   о   ваш   группа   от   подруга     это   действительно   сложный   находить   магазин   в   интернет    где   быстро   отвечать   все   подсказывать   и   оформлять   заказ    у   я   это   занимать   минута       почта   не   подводить    получать   весь   вовремя    но   самый   главное   это   же   сам   товар      а   к   он   вопрос   ноль    думать   фото   заменять   весь   слово     спасибо    успех 
",15 янв 2018 в 18:23,True,1,"['очень', 'рад', 'что', 'узнавать', 'о', 'ваш', 'группа', 'от', 'подруга', 'это', 'действительно', 'сложный', 'находить', 'магазин', 'в', 'интернет', 'где', 'быстро', 'отвечать', 'все', 'подсказывать', 'и', 'оформлять', 'заказ', 'у', 'я', 'это', 'занимать', 'минута', 'почта', 'не', 'подводить', 'получать', 'весь', 'вовремя', 'но', 'самый', 'главное', 'это', 'же', 'сам', 'товар', 'а', 'к', 'он', 'вопрос', 'ноль', 'думать', 'фото', 'заменять', 'весь', 'слово', 'спасибо', 'успех']","['очен', 'рад', 'что', 'узнава', 'о', 'ваш', 'групп', 'от', 'подруг', 'эт', 'действительн', 'сложн', 'наход', 'магазин', 'в', 'интернет', 'где', 'быстр', 'отвеча', 'все', 'подсказыва', 'и', 'оформля', 'заказ', 'у', 'я', 'эт', 'занима', 'минут', 'почт', 'не', 'подвод', 'получа', 'ве', 'воврем', 'но', 'сам', 'главн', 'эт', 'же', 'сам', 'товар', 'а', 'к', 'он', 'вопрос', 'нол', 'дума', 'фот', 'заменя', 'ве', 'слов', 'спасиб', 'успех']"
17,"все   хороший 
",16 янв 2018 в 10:01,True,1,"['все', 'хороший']","['все', 'хорош']"
18,"вчера   вечер   забирать    сразу   взять   они   в   зал   спасибо   за   помощь   в   выбор    действительно   шикарный   модель 
",16 янв 2018 в 10:33,True,1,"['вчера', 'вечер', 'забирать', 'сразу', 'взять', 'они', 'в', 'зал', 'спасибо', 'за', 'помощь', 'в', 'выбор', 'действительно', 'шикарный', 'модель']","['вчер', 'вечер', 'забира', 'сраз', 'взят', 'они', 'в', 'зал', 'спасиб', 'за', 'помощ', 'в', 'выбор', 'действительн', 'шикарн', 'модел']"
19,"только   с   почта 
",17 янв 2018 в 10:00,True,1,"['только', 'с', 'почта']","['только', 'с', 'почт']"
20,"заказывать     пара    сегодня   получать    вроде   все   классный 
",17 янв 2018 в 12:32,True,1,"['заказывать', 'пара', 'сегодня', 'получать', 'вроде', 'все', 'классный']","['заказыва', 'пар', 'сегодн', 'получа', 'врод', 'все', 'классн']"
21,"получать    спасибо     быть   заказывать   еще 
",18 янв 2018 в 12:12,True,1,"['получать', 'спасибо', 'быть', 'заказывать', 'еще']","['получа', 'спасиб', 'быть', 'заказыва', 'еще']"
22,"очень   довольный   качество    срок   доставка   и   оформление   заказ    хороший   магазин 
",20 янв 2018 в 13:12,True,1,"['очень', 'довольный', 'качество', 'срок', 'доставка', 'и', 'оформление', 'заказ', 'хороший', 'магазин']","['очен', 'довольн', 'качеств', 'срок', 'доставк', 'и', 'оформлен', 'заказ', 'хорош', 'магазин']"
23,"искать   именно   макса    очень   понравиться   в   этот   цвет    еще   и   по   такой   цена   и   ждать   под   заказ   месяц   ненужный   как   во   многий   магаз    сразу   решать   заказывать   надеяться   каталог   у   вы   быть   только   расширяться    заказывать   бы   еще   что   нить 
",20 янв 2018 в 16:00,True,1,"['искать', 'именно', 'макса', 'очень', 'понравиться', 'в', 'этот', 'цвет', 'еще', 'и', 'по', 'такой', 'цена', 'и', 'ждать', 'под', 'заказ', 'месяц', 'ненужный', 'как', 'во', 'многий', 'магаз', 'сразу', 'решать', 'заказывать', 'надеяться', 'каталог', 'у', 'вы', 'быть', 'только', 'расширяться', 'заказывать', 'бы', 'еще', 'что', 'нить']","['иска', 'имен', 'макс', 'очен', 'понрав', 'в', 'этот', 'цвет', 'еще', 'и', 'по', 'такой', 'цен', 'и', 'ждат', 'под', 'заказ', 'месяц', 'ненужн', 'как', 'во', 'мног', 'магаз', 'сраз', 'реша', 'заказыва', 'надея', 'каталог', 'у', 'вы', 'быть', 'только', 'расширя', 'заказыва', 'бы', 'еще', 'что', 'нит']"
24,"получать    спасибо 
",22 янв 2018 в 17:49,True,1,"['получать', 'спасибо']","['получа', 'спасиб']"
25,"большой   спасибо   вы    неожиданно   хорошо   работать   для   небольшой   магазин    желать   вы   развитие   в   этот   непростой   время 
",25 янв 2018 в 18:05,True,1,"['большой', 'спасибо', 'вы', 'неожиданно', 'хорошо', 'работать', 'для', 'небольшой', 'магазин', 'желать', 'вы', 'развитие', 'в', 'этот', 'непростой', 'время']","['больш', 'спасиб', 'вы', 'неожида', 'хорошо', 'работа', 'для', 'небольш', 'магазин', 'жела', 'вы', 'развит', 'в', 'этот', 'непрост', 'врем']"
26,"хороший   кроссовок    спасибо 
",1 фев 2018 в 13:29,True,1,"['хороший', 'кроссовок', 'спасибо']","['хорош', 'кроссовок', 'спасиб']"
27,"ые   макса   еще   и   роооозовой   я   о   они   просто   мечтать   сразу   заказывать    они   очень   крутой    в   магазин   не   находить   у   мы   они      я   очень   рад 
",5 фев 2018 в 16:59,True,1,"['ые', 'макса', 'еще', 'и', 'роооозовой', 'я', 'о', 'они', 'просто', 'мечтать', 'сразу', 'заказывать', 'они', 'очень', 'крутой', 'в', 'магазин', 'не', 'находить', 'у', 'мы', 'они', 'я', 'очень', 'рад']","['ы', 'макс', 'еще', 'и', 'роооозов', 'я', 'о', 'они', 'прост', 'мечта', 'сраз', 'заказыва', 'они', 'очен', 'крут', 'в', 'магазин', 'не', 'наход', 'у', 'мы', 'они', 'я', 'очен', 'рад']"
28,"просто   космос 
",5 фев 2018 в 17:00,True,1,"['просто', 'космос']","['прост', 'космос']"
29,"давно   такой   хотеть   очень   рад 
",7 фев 2018 в 14:16,True,1,"['давно', 'такой', 'хотеть', 'очень', 'рад']","['давн', 'такой', 'хотет', 'очен', 'рад']"
30,"спасибочки 
",7 фев 2018 в 16:05,True,1,['спасибочки'],['спасибочк']
31,"все   доставлять    все   супер    размер   идеально   подходить    качество   нравиться 
",8 фев 2018 в 12:06,True,1,"['все', 'доставлять', 'все', 'супер', 'размер', 'идеально', 'подходить', 'качество', 'нравиться']","['все', 'доставля', 'все', 'супер', 'размер', 'идеальн', 'подход', 'качеств', 'нрав']"
32,"забирать     очень   красивый   нереально   насыщенный   цвет    на   фото   невозможно   передавать    смотреться   шикарно 
",13 фев 2018 в 16:05,True,1,"['забирать', 'очень', 'красивый', 'нереально', 'насыщенный', 'цвет', 'на', 'фото', 'невозможно', 'передавать', 'смотреться', 'шикарно']","['забира', 'очен', 'красив', 'нереальн', 'насыщен', 'цвет', 'на', 'фот', 'невозможн', 'передава', 'смотрет', 'шикарн']"
33,"спасибо                              давно   хотеть   они   очень   именно   такой 
",13 фев 2018 в 18:18,True,1,"['спасибо', 'давно', 'хотеть', 'они', 'очень', 'именно', 'такой']","['спасиб', 'давн', 'хотет', 'они', 'очен', 'имен', 'такой']"
34,"заказывать     пара   джордан    обожать   они    а   по   такой   цена   нечасто   предложение   можно   находить     спасибо 
",14 фев 2018 в 17:57,True,1,"['заказывать', 'пара', 'джордан', 'обожать', 'они', 'а', 'по', 'такой', 'цена', 'нечасто', 'предложение', 'можно', 'находить', 'спасибо']","['заказыва', 'пар', 'джорда', 'обожа', 'они', 'а', 'по', 'такой', 'цен', 'нечаст', 'предложен', 'можно', 'наход', 'спасиб']"
35,"спасибо    качество   идеальный    очень   приятный   нежный   цвет    камера   слабенький   и   плохо   передавать    но   он   ооочень   я   нравиться    размер   подходить    никакой   проблема   пока   не   выявлять    быть   вы   рекомендовать    вы   молодец 
",15 фев 2018 в 10:54,True,1,"['спасибо', 'качество', 'идеальный', 'очень', 'приятный', 'нежный', 'цвет', 'камера', 'слабенький', 'и', 'плохо', 'передавать', 'но', 'он', 'ооочень', 'я', 'нравиться', 'размер', 'подходить', 'никакой', 'проблема', 'пока', 'не', 'выявлять', 'быть', 'вы', 'рекомендовать', 'вы', 'молодец']","['спасиб', 'качеств', 'идеальн', 'очен', 'приятн', 'нежн', 'цвет', 'камер', 'слабеньк', 'и', 'плох', 'передава', 'но', 'он', 'ооочен', 'я', 'нрав', 'размер', 'подход', 'никак', 'проблем', 'пок', 'не', 'выявля', 'быть', 'вы', 'рекомендова', 'вы', 'молодец']"
36,"подтверждать    размер   соответствовать    цвет   и   модель   тоже    размер   правильный    доставлять   в   срок    никакой   подводный   камень   нет    доплачивать   ничто   не   приходиться    выбирать   почта    приходить   и   забирать    кстати   достаточно   быстро 
",7 мая 2018 в 15:13,True,1,"['подтверждать', 'размер', 'соответствовать', 'цвет', 'и', 'модель', 'тоже', 'размер', 'правильный', 'доставлять', 'в', 'срок', 'никакой', 'подводный', 'камень', 'нет', 'доплачивать', 'ничто', 'не', 'приходиться', 'выбирать', 'почта', 'приходить', 'и', 'забирать', 'кстати', 'достаточно', 'быстро']","['подтвержда', 'размер', 'соответствова', 'цвет', 'и', 'модел', 'тоже', 'размер', 'правильн', 'доставля', 'в', 'срок', 'никак', 'подводн', 'камен', 'нет', 'доплачива', 'ничт', 'не', 'приход', 'выбира', 'почт', 'приход', 'и', 'забира', 'кстат', 'достаточн', 'быстр']"
37,"все   проходить   отлично    рекомендовать 
",7 мая 2018 в 15:39,True,1,"['все', 'проходить', 'отлично', 'рекомендовать']","['все', 'проход', 'отличн', 'рекомендова']"
38,"наконец   таки   мужской   появляться   у   вы    а   то   у   вы   мой   девушка   заказывать    а   я   только   завидовать   вот   себя   теперь   сразу     пара   и   девушка     заказывать    рано   бы   так   быть 
",7 мая 2018 в 17:21,True,1,"['наконец', 'таки', 'мужской', 'появляться', 'у', 'вы', 'а', 'то', 'у', 'вы', 'мой', 'девушка', 'заказывать', 'а', 'я', 'только', 'завидовать', 'вот', 'себя', 'теперь', 'сразу', 'пара', 'и', 'девушка', 'заказывать', 'рано', 'бы', 'так', 'быть']","['наконец', 'так', 'мужск', 'появля', 'у', 'вы', 'а', 'то', 'у', 'вы', 'мой', 'девушк', 'заказыва', 'а', 'я', 'только', 'завидова', 'вот', 'себя', 'теперь', 'сраз', 'пар', 'и', 'девушк', 'заказыва', 'ран', 'бы', 'так', 'быть']"
39,"группа   у   вы   реально   топ     еще   одежда   бы   не   помешать   тоже 
",7 мая 2018 в 19:08,True,1,"['группа', 'у', 'вы', 'реально', 'топ', 'еще', 'одежда', 'бы', 'не', 'помешать', 'тоже']","['групп', 'у', 'вы', 'реальн', 'топ', 'еще', 'одежд', 'бы', 'не', 'помеша', 'тоже']"
40,"заказывать   тут   уже   второй   раз    до   это   еще   перед   новый   год   заказывать   заказывать     пара   себя   и   подруга    все   как   и   в   прошлый   раз   быстро   оперативно   и   без   проблема    спасибо 
",7 мая 2018 в 20:19,True,1,"['заказывать', 'тут', 'уже', 'второй', 'раз', 'до', 'это', 'еще', 'перед', 'новый', 'год', 'заказывать', 'заказывать', 'пара', 'себя', 'и', 'подруга', 'все', 'как', 'и', 'в', 'прошлый', 'раз', 'быстро', 'оперативно', 'и', 'без', 'проблема', 'спасибо']","['заказыва', 'тут', 'уже', 'втор', 'раз', 'до', 'эт', 'еще', 'перед', 'нов', 'год', 'заказыва', 'заказыва', 'пар', 'себя', 'и', 'подруг', 'все', 'как', 'и', 'в', 'прошл', 'раз', 'быстр', 'оперативн', 'и', 'без', 'проблем', 'спасиб']"
41,"офигенный    за     день   доезжать    никакой   проблема    респект   ваш   магазин 
",7 мая 2018 в 22:34,True,1,"['офигенный', 'за', 'день', 'доезжать', 'никакой', 'проблема', 'респект', 'ваш', 'магазин']","['офиген', 'за', 'ден', 'доезжа', 'никак', 'проблем', 'респект', 'ваш', 'магазин']"
42,"шикарный   кроссовок    спасибо   большой 
",8 мая 2018 в 12:08,True,1,"['шикарный', 'кроссовок', 'спасибо', 'большой']","['шикарн', 'кроссовок', 'спасиб', 'больш']"
43,"получать 
",9 мая 2018 в 14:20,True,1,['получать'],['получа']
44,"спасибо     качество   очень   хороший 
",9 мая 2018 в 17:47,True,1,"['спасибо', 'качество', 'очень', 'хороший']","['спасиб', 'качеств', 'очен', 'хорош']"
45,"сегодня   получать    отличный   крос    рекомендовать    спасибо 
",9 мая 2018 в 21:06,True,1,"['сегодня', 'получать', 'отличный', 'крос', 'рекомендовать', 'спасибо']","['сегодн', 'получа', 'отличн', 'крос', 'рекомендова', 'спасиб']"
46,"девочка    все   советовать    группа   просто   сокровище    такой   качество   за   такой   цена    я   в   воторг   скин   еще   фото 
",23 дек 2017 в 16:59,False,1,"['девочка', 'все', 'советовать', 'группа', 'просто', 'сокровище', 'такой', 'качество', 'за', 'такой', 'цена', 'я', 'в', 'воторг', 'скин', 'еще', 'фото']","['девочк', 'все', 'советова', 'групп', 'прост', 'сокровищ', 'такой', 'качеств', 'за', 'такой', 'цен', 'я', 'в', 'воторг', 'скин', 'еще', 'фот']"
47,"спасибо   за   заказ   приходить   в     день    размер   подходить    спасибо    приятно   работать   с   вы 
",23 дек 2017 в 17:00,True,1,"['спасибо', 'за', 'заказ', 'приходить', 'в', 'день', 'размер', 'подходить', 'спасибо', 'приятно', 'работать', 'с', 'вы']","['спасиб', 'за', 'заказ', 'приход', 'в', 'ден', 'размер', 'подход', 'спасиб', 'приятн', 'работа', 'с', 'вы']"
48,"получать   платье   очень   довольный   спасибо   за   качественный   работа    все   супер 
",23 дек 2017 в 17:12,True,1,"['получать', 'платье', 'очень', 'довольный', 'спасибо', 'за', 'качественный', 'работа', 'все', 'супер']","['получа', 'плат', 'очен', 'довольн', 'спасиб', 'за', 'качествен', 'работ', 'все', 'супер']"
49,"одаа   заказ   приходить    сейчас   написать   отчет 
",23 дек 2017 в 17:34,False,1,"['одаа', 'заказ', 'приходить', 'сейчас', 'написать', 'отчет']","['ода', 'заказ', 'приход', 'сейчас', 'написа', 'отчет']"
50,"классный   парк    мех   не   линять    богатый   мех   на   воротник    в   рукав   утеплитель   не   сильный    но   если   быть   бы   много    я   казаться   в   толстовка   рука   быть   казаться   надутый    посмотреть    как   зима   быть   согревать    вообщий   заказ   довольный    рекомендовать 
",23 дек 2017 в 17:36,True,1,"['классный', 'парк', 'мех', 'не', 'линять', 'богатый', 'мех', 'на', 'воротник', 'в', 'рукав', 'утеплитель', 'не', 'сильный', 'но', 'если', 'быть', 'бы', 'много', 'я', 'казаться', 'в', 'толстовка', 'рука', 'быть', 'казаться', 'надутый', 'посмотреть', 'как', 'зима', 'быть', 'согревать', 'вообщий', 'заказ', 'довольный', 'рекомендовать']","['классн', 'парк', 'мех', 'не', 'линя', 'богат', 'мех', 'на', 'воротник', 'в', 'рука', 'утеплител', 'не', 'сильн', 'но', 'если', 'быть', 'бы', 'много', 'я', 'каза', 'в', 'толстовк', 'рук', 'быть', 'каза', 'надут', 'посмотрет', 'как', 'зим', 'быть', 'согрева', 'вообщ', 'заказ', 'довольн', 'рекомендова']"
51,"трек   отслеживать   на   сайт   почта   россия    отслеживание   быть   каждый   день   вплоть   до   время    приходить   хорошо   упаковывать    размер   подходить    качество     из      быть   небольшой   запах   и   кой   где   быть   клей     но   за   такой   цена   идеально    спасибо   большой   за   консультация   и   отличный   работа   магазин   быть   заказывать   еще 
",23 дек 2017 в 18:10,True,1,"['трек', 'отслеживать', 'на', 'сайт', 'почта', 'россия', 'отслеживание', 'быть', 'каждый', 'день', 'вплоть', 'до', 'время', 'приходить', 'хорошо', 'упаковывать', 'размер', 'подходить', 'качество', 'из', 'быть', 'небольшой', 'запах', 'и', 'кой', 'где', 'быть', 'клей', 'но', 'за', 'такой', 'цена', 'идеально', 'спасибо', 'большой', 'за', 'консультация', 'и', 'отличный', 'работа', 'магазин', 'быть', 'заказывать', 'еще']","['трек', 'отслежива', 'на', 'сайт', 'почт', 'росс', 'отслеживан', 'быть', 'кажд', 'ден', 'вплот', 'до', 'врем', 'приход', 'хорошо', 'упаковыва', 'размер', 'подход', 'качеств', 'из', 'быть', 'небольш', 'зап', 'и', 'ко', 'где', 'быть', 'кле', 'но', 'за', 'такой', 'цен', 'идеальн', 'спасиб', 'больш', 'за', 'консультац', 'и', 'отличн', 'работ', 'магазин', 'быть', 'заказыва', 'еще']"
52,"спасибо   большущий    очень   приятно   с   вы   работать   процветание   вы   и   хороший   клиент 
",23 дек 2017 в 18:40,True,1,"['спасибо', 'большущий', 'очень', 'приятно', 'с', 'вы', 'работать', 'процветание', 'вы', 'и', 'хороший', 'клиент']","['спасиб', 'большущ', 'очен', 'приятн', 'с', 'вы', 'работа', 'процветан', 'вы', 'и', 'хорош', 'клиент']"
53,"влюбляться   в   ваш   магазин    делать   по   часто   скидка 
",23 дек 2017 в 20:13,False,1,"['влюбляться', 'в', 'ваш', 'магазин', 'делать', 'по', 'часто', 'скидка']","['влюбля', 'в', 'ваш', 'магазин', 'дела', 'по', 'част', 'скидк']"
54,"курточка   очень   классный   шов   ровный   запах   нет   мех   очень   пушистый   и   смотреться   обалдено   заказ   довольный    купить   у   вы   еще   что   нибудь    и   кстати    этот   куртка   по   смешной   цена 
",23 дек 2017 в 20:14,True,1,"['курточка', 'очень', 'классный', 'шов', 'ровный', 'запах', 'нет', 'мех', 'очень', 'пушистый', 'и', 'смотреться', 'обалдено', 'заказ', 'довольный', 'купить', 'у', 'вы', 'еще', 'что', 'нибудь', 'и', 'кстати', 'этот', 'куртка', 'по', 'смешной', 'цена']","['курточк', 'очен', 'классн', 'шов', 'ровн', 'зап', 'нет', 'мех', 'очен', 'пушист', 'и', 'смотрет', 'обалд', 'заказ', 'довольн', 'куп', 'у', 'вы', 'еще', 'что', 'нибудь', 'и', 'кстат', 'этот', 'куртк', 'по', 'смешн', 'цен']"
55,"дождаться   платье    оно   прекрастно   на   я   сидеть 
",23 дек 2017 в 22:09,False,1,"['дождаться', 'платье', 'оно', 'прекрастно', 'на', 'я', 'сидеть']","['дожда', 'плат', 'он', 'прекрастн', 'на', 'я', 'сидет']"
56,"платье   огонь    очень   приятный   к   тело    не   просвечивать    что   бояться   больше   все    а   что   порадовать   много   все    что   купить   по   акция   спасибо   вы   большой 
",23 дек 2017 в 22:10,True,1,"['платье', 'огонь', 'очень', 'приятный', 'к', 'тело', 'не', 'просвечивать', 'что', 'бояться', 'больше', 'все', 'а', 'что', 'порадовать', 'много', 'все', 'что', 'купить', 'по', 'акция', 'спасибо', 'вы', 'большой']","['плат', 'огон', 'очен', 'приятн', 'к', 'тел', 'не', 'просвечива', 'что', 'боя', 'больше', 'все', 'а', 'что', 'порадова', 'много', 'все', 'что', 'куп', 'по', 'акц', 'спасиб', 'вы', 'больш']"
57,"девочка    я   очень   нравиться   брать   товар   в   этот   магазин    вот   от   душа   говорить     доставлять   даже   быстро    когда   быть   возможность     о   кросс    довольный    запах   нет    что   бояться    проклеивать   хорошо    спасибо   еще   раз 
",24 дек 2017 в 9:37,True,1,"['девочка', 'я', 'очень', 'нравиться', 'брать', 'товар', 'в', 'этот', 'магазин', 'вот', 'от', 'душа', 'говорить', 'доставлять', 'даже', 'быстро', 'когда', 'быть', 'возможность', 'о', 'кросс', 'довольный', 'запах', 'нет', 'что', 'бояться', 'проклеивать', 'хорошо', 'спасибо', 'еще', 'раз']","['девочк', 'я', 'очен', 'нрав', 'брат', 'товар', 'в', 'этот', 'магазин', 'вот', 'от', 'душ', 'говор', 'доставля', 'даже', 'быстр', 'когда', 'быть', 'возможн', 'о', 'кросс', 'довольн', 'зап', 'нет', 'что', 'боя', 'проклеива', 'хорошо', 'спасиб', 'еще', 'раз']"
58,"сумка   отличный   еще   прикупать   качество   хороший   рекомендовать   главное   цена   радовать 
",24 дек 2017 в 9:39,True,1,"['сумка', 'отличный', 'еще', 'прикупать', 'качество', 'хороший', 'рекомендовать', 'главное', 'цена', 'радовать']","['сумк', 'отличн', 'еще', 'прикупа', 'качеств', 'хорош', 'рекомендова', 'главн', 'цен', 'радова']"
59,"очень   приятно   носить    туфелька   шикарный     теперь   думать   еще   заказик   у   вы   сделать 
",24 дек 2017 в 12:54,True,1,"['очень', 'приятно', 'носить', 'туфелька', 'шикарный', 'теперь', 'думать', 'еще', 'заказик', 'у', 'вы', 'сделать']","['очен', 'приятн', 'нос', 'туфельк', 'шикарн', 'теперь', 'дума', 'еще', 'заказик', 'у', 'вы', 'сдела']"
60,"прекрасный   ботинок    мягкий   и   пушистый    но   по   лужа   бегать   нельзя    ходить   можно      неторопиться   и   по   неглубокий       таблица   размер   соответствовать    доставка   быстрый 
",24 дек 2017 в 18:29,True,1,"['прекрасный', 'ботинок', 'мягкий', 'и', 'пушистый', 'но', 'по', 'лужа', 'бегать', 'нельзя', 'ходить', 'можно', 'неторопиться', 'и', 'по', 'неглубокий', 'таблица', 'размер', 'соответствовать', 'доставка', 'быстрый']","['прекрасн', 'ботинок', 'мягк', 'и', 'пушист', 'но', 'по', 'луж', 'бега', 'нельзя', 'ход', 'можно', 'нетороп', 'и', 'по', 'неглубок', 'таблиц', 'размер', 'соответствова', 'доставк', 'быстр']"
61,"очень   понравиться   ваш   магазин    ждать   я   за   новый   покупка 
",24 дек 2017 в 18:30,True,1,"['очень', 'понравиться', 'ваш', 'магазин', 'ждать', 'я', 'за', 'новый', 'покупка']","['очен', 'понрав', 'ваш', 'магазин', 'ждат', 'я', 'за', 'нов', 'покупк']"
